Date	Purchase (£)	Company_name	Resolution time(mins)	Customer satisfaction score
14/06/2023	741.10	Universal Songs 	735	55
23/06/2023	1004.28	Jerry-Sound.com	531	76
01/06/2023	828.73	Universal Songs 	274	97
19/06/2023	1043.23	Jerry-Sound.com	414	93
07/06/2023	908.45	Universal Songs 	545	72
13/06/2023	904.32	Universal Songs 	717	45
22/06/2023	596.24	Jerry-Sound.com	508	79
05/06/2023	835.75	Universal Songs 	505	81
25/06/2023	917.75	Jerry-Sound.com	601	70
07/06/2023	796.72	Universal Songs 	549	78
24/06/2023	901.38	Jerry-Sound.com	556	76
15/06/2023	796.25	Universal Songs 	862	43
17/06/2023	975.68	Jerry-Sound.com	333	100
07/06/2023	822.29	Universal Songs 	555	74
01/07/2023	716.86	Jerry-Sound.com	950	54
06/06/2023	702.19	Universal Songs 	527	74
16/06/2023	837.76	Jerry-Sound.com	244	100
14/06/2023	1048.19	Universal Songs 	751	53
20/06/2023	965.97	Jerry-Sound.com	429	90
04/06/2023	892.24	Universal Songs 	451	84
17/06/2023	865.96	Jerry-Sound.com	331	96
10/06/2023	852.53	Universal Songs 	615	62
21/06/2023	776.80	Jerry-Sound.com	473	87
14/06/2023	862.18	Universal Songs 	754	46
21/06/2023	1242.82	Jerry-Sound.com	495	82
06/06/2023	875.58	Universal Songs 	532	74
16/06/2023	1008.56	Jerry-Sound.com	241	100
16/06/2023	918.83	Jerry-Sound.com	208	100
07/06/2023	939.25	Universal Songs 	542	75
26/06/2023	914.22	Jerry-Sound.com	621	66
02/06/2023	722.77	Universal Songs 	394	94
18/06/2023	994.98	Jerry-Sound.com	374	100
09/06/2023	1026.85	Universal Songs 	584	78
28/06/2023	1053.58	Jerry-Sound.com	763	57
11/06/2023	825.50	Universal Songs 	642	70
24/06/2023	880.13	Jerry-Sound.com	586	69
13/06/2023	845.97	Universal Songs 	730	56
25/06/2023	851.80	Jerry-Sound.com	613	70
05/06/2023	974.28	Universal Songs 	501	85
21/06/2023	1066.74	Jerry-Sound.com	461	94
05/06/2023	810.53	Universal Songs 	486	85
19/06/2023	914.30	Jerry-Sound.com	400	93
03/06/2023	1029.97	Universal Songs 	416	89
29/06/2023	915.35	Jerry-Sound.com	806	56
06/06/2023	776.99	Universal Songs 	524	72
24/06/2023	1015.04	Jerry-Sound.com	587	71
11/06/2023	955.66	Universal Songs 	653	67
20/06/2023	733.62	Jerry-Sound.com	457	85
06/06/2023	733.97	Universal Songs 	513	86
16/06/2023	962.59	Jerry-Sound.com	261	100
